Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
DBX,,50.61,6,,,33.3,28.6,22.9,47.1,16.1,38.97,,10.8,46.64,1.7,0.74,0.44,26.89,0.87,,30.91,9.66,3.11,,,,,18.05,14.1,10.67,12.08,10.68,3.59,3.61,5.54,,33.51,10.5,,10.45,27.16,9.96,1.24,29.4,82.43,,,22.71,,20.02,,15.54,11.79,,3.47,,,,,10.3,,,,,9.95,13.04,0.47,0.97,,0.87,20.47,99.91,31.24,,,17,,15.73,,,,3,9373154089.0,Data Processing Services,Technology Services
DCBO,,51.01,2.4,,,,,55,10.77,37.3,39.12,,23.17,46.2,6.81,0.66,40.49,48.05,1.13,,285.53,62.9,0.09,0.05,,,,74.11,63.72,56.39,,,5.49,6.68,1.35,0.26,11.85,1.67,,47.12,,28.28,18.08,58.57,80.92,79.02,,8.63,,8.14,32.82,84.36,48.53,,7.51,,,,,63.47,10.63,,,126.45,60.57,73.6,,14.43,51.67,1.13,9.68,524.13,26.11,27.1,,14.44,,0.04,,,,2,1324788107.6935596,Packaged Software,Technology Services
DCI,25.87,48.88,1.3,10.9,6.3,11.9,15.1,7.5,34.99,9.5,26.52,1.78,0.19,42.46,7.07,0.3,0.43,75.17,1.84,69.55,53.84,62.08,0.82,0.36,,0.3,1.39,16.73,14.22,22.9,15.82,13.46,2.48,2.6,5.98,0.51,11.35,4.52,1.45,20.77,12.88,8.19,4.83,67.84,35.54,25.43,,11.54,,15.17,6.06,22.24,21.98,2.47,2.57,,1.52,1.44,,22.67,3.24,1.11,,683.36,18.71,23.61,2.32,1.94,10.77,1.23,14.68,48.71,27.69,29.55,,20.13,,3.6,30.31,,,10,7475793263.0,Auto Parts: OEM,Producer Manufacturing
DD,19.24,40.57,16.3,2.5,6.3,30,124.9,,0.41,11.1,30.81,0.65,6.54,37.31,1.26,0.58,0.23,81.85,2.28,103.23,78.26,56.44,3.38,0.29,,0.39,1.82,43.1,18.76,31.84,14.05,11.42,2.98,3.24,2.32,0.65,10.17,3.62,1.85,18.64,11.93,12.04,4.35,82.39,36.19,4.57,,6.55,,14.37,1.41,43.08,21.48,,2.85,,,,,27.87,4.3,1.19,,,16.23,2640.32,1.96,1.38,19.4,1.49,2.11,12.1,2.63,3.34,,5.34,,5.05,10.62,,,9,34227589660.0,Chemicals: Major Diversified,Process Industries
DDOG,14.63,61.02,,25,,58.9,81.7,83.3,,44.6,68.78,,5.63,63.28,14.8,1.8,3.3,135.45,2.13,,68.28,68.54,3.67,0.37,,,,202.35,163.09,58.6,81.53,72.99,13.16,16.99,0.49,0.57,29,1.62,,66.3,,22.52,23.02,138.19,81.23,13.01,,7.58,,2.86,17.22,251.72,70.96,,19.58,,,,,68.03,8.05,,38.37,25.7,60.56,226.5,,7.53,20.22,2.13,4.65,68.56,7.46,8.68,,3.59,,,,,,1,30728700213.0,Packaged Software,Technology Services
DDS,13.94,65.76,9.6,16.9,14.5,140.4,,75,,28.7,68.75,0.51,,67.89,4.68,0.9,1.99,419.12,2.38,128.95,87.86,3.2,0.56,0.28,,0.03,0.23,7.78,6.36,9.5,13.84,9.85,1.02,0.95,12.85,0.48,9.98,9.86,0.23,15.11,28.44,,,359.86,40.96,19.31,,9.4,,11.72,3.45,10.79,10.79,0.22,0.98,,,,,10.16,1.29,2.42,,8.78,8.63,9.54,0.43,0.71,3.45,1.02,16.5,50.27,29.39,33.86,,36.28,,0.39,19.79,,,9,5229484166.0,Department Stores,Retail Trade
DE,7.47,48.71,3.5,23.3,18.4,37.5,60.3,,34.28,23.2,51.03,2.8,4.41,48.94,2.89,0.21,0.12,404.96,2.05,91.94,33.43,54.81,4.11,2.87,,0.2,1.45,11.94,10.4,33.41,22.35,18.7,3.89,3.05,8.38,0.21,9.14,4.52,1.45,18.38,22.95,,,355.87,38.27,3.99,,14.99,,23.71,4.8,13.82,13.82,0.63,2.07,,,,,22.87,1.94,1.37,,,11.6,17.74,0.55,1.88,6.13,1.85,7.87,84.7,21.44,36.5,,11.49,,,25.12,,,10,118687902160.0,Trucks/Construction/Farm Machinery,Producer Manufacturing
DEA,23.46,23.36,,,0.6,,,,2.95,,11.95,8.91,19.88,17.03,0.61,0.09,0.02,12.18,0.42,,341.67,84.23,8.51,1.12,,5.76,8.69,34.72,15.68,17.46,,13.76,8.64,9.17,2.88,0.42,52.5,12.21,8.69,46.83,11.9,24.38,7.57,13.18,66.01,1.27,,6.25,,25.11,0.97,70.94,65.54,655.4,4.16,,,,11.12,7.98,1.8,0.66,,,7.98,,,0.55,1.1,0.42,0.63,,2.92,1.42,,2.47,,,61.04,,,9,1214404137.0,Real Estate Investment Trusts,Finance
DECK,54.27,62.98,2.8,16.8,,27.4,29.4,22.2,107.95,22.5,64.72,,7.56,65.12,17.62,1.4,4.74,176.36,3.08,119.54,92.89,30.67,0.22,0.12,,,,22.76,21.52,30.14,23.88,22.68,5.3,5.54,4.39,0.65,18.39,3.2,,31.71,21.59,15.02,12.19,111.45,57.11,391.96,,18.8,,22.98,12.05,31.02,31.02,1.22,5.83,,,,,31.93,4.11,2.59,534.42,17.57,29.29,33.08,1.24,3.34,12.22,2.2,27.3,126.17,47.89,42.48,,75.96,,1.67,76.35,,,10,13665184813.0,Apparel/Footwear,Consumer Non-Durables
DEI,62.38,53.16,1.6,,,2.7,,18.3,24.81,5.8,53.23,3.27,36.34,52.19,0.36,2.8,0.1,18.75,4.04,,87.01,44.55,9.28,2.64,,,4.05,43.91,13.56,35.73,27.48,10.93,6.67,8.07,2.28,0.22,22.59,7.2,4.05,36.59,1.21,,,15.34,64.84,0.84,,,,18.95,1.5,,,,3.15,,,,8.16,13.85,,0.45,,,7.31,23.36,,0.89,1.5,4.04,,1278.64,1.95,,,2.12,,,27.99,,,9,2250959381.0,Real Estate Investment Trusts,Finance
DELL,72.38,58.71,2.1,,,,,,,2.1,57.91,1.26,,58.48,1.73,0.09,0.19,133.96,0.72,21.84,106.05,39.24,2.81,,,0.23,1.26,20.99,13.2,34.35,13.68,9.63,1.1,1.26,4.76,,3.66,3.52,1.34,14.3,3.98,14.73,7.88,58.25,22.41,3.51,,4.33,,5.71,,24.75,18.77,37.54,1.08,,,,,29.64,,,,,16.39,41.07,,1.9,,0.61,4.8,83.6,16.57,,,7.34,,8.07,151.96,,,5,50402428016.0,Computer Processing Hardware,Electronic Technology
DEO,,30.9,1.7,6.8,5.9,8.3,6.8,,14.66,9.9,36.38,4.07,,30.08,2.56,0.14,0.06,119.45,1.53,441.06,207.12,58.85,3.11,2.2,,0.56,3.46,13.24,12.32,33.65,13.42,11.91,3.8,4.31,7.55,0.22,12.8,3.89,3.46,16.99,11.27,3.7,4.17,186.8,60.18,5.29,,19.1,,29.61,6.67,17.28,16.66,2.38,3.32,,1.44,2.23,,25.94,,0.63,,,16.41,17.41,2.39,1.54,,0.55,8.46,45.96,18.46,39.07,,12.04,,4.87,17.54,,,10,88071847728.48419,Beverages: Alcoholic,Consumer Non-Durables
DFH,43.44,31.47,,93.7,,60.1,52.3,50,21.49,41.6,17.71,,20.49,25.94,3.03,0.12,0.14,27.91,1.52,193.93,17.25,2.82,3.47,1.17,,,,9.74,9.36,,,,0.99,0.99,10.27,0.38,,,,8.34,,4.69,7.32,31.71,19.59,,,7.65,,10.14,2.29,9.06,8.48,,0.69,,,,,,1.11,,,8.95,,,,,3.2,0.27,11.02,24.48,26.24,27.4,,14.65,,,,,,6,2237392005.0000005,Homebuilding,Consumer Durables
DFIN,18,43.15,4.4,22.9,,37.3,47.7,,,,39.96,,5.43,42.77,5.02,0.16,0.24,60.06,1.15,,43.56,84.7,0.66,0.32,,,,13.08,8.59,15.38,,,,2.3,7.65,0.53,14.95,6.91,,14.79,20.86,16.92,2.88,45.95,61.45,8.77,,12.06,,17.83,3.91,18.91,18.59,2.11,2.28,,,,,15.2,,,,,9.63,17.05,1.22,1.44,,1.15,11.4,229.27,21.61,23.22,,16.87,,7.14,24.36,,,9,1516379982.0,Packaged Software,Technology Services
DGII,21.39,54.16,,5,,11.6,22.6,10.6,8.95,7.5,42.78,,14.98,50.8,3.67,0.31,0.22,31.55,1.73,131.71,42.19,56.85,2.24,0.21,,,,32.12,22.34,15.05,,8.13,2.9,2.9,3.11,0.71,19.29,7.12,,15.39,24.33,,,29.26,58.93,3.82,,5.31,,11.34,1.98,51.72,15.85,0.98,2.73,,0.51,0.67,,14.26,1.18,1.62,,,14.03,27.52,0.64,1.11,1.98,1.13,2.73,41.57,5.16,4.05,,6.1,,6.07,67.13,,,10,1124044895.0,Telecommunications Equipment,Electronic Technology
DGX,10.98,60.87,5.7,3.7,7.6,,,,,5.7,60.63,2.3,3.8,61.6,2.88,0.37,0.11,161.32,1.25,10.48,21.5,49.8,3.92,1.02,,0.42,1.86,18.43,13.59,23.65,15.47,11.24,2.32,2.54,5.43,0.42,10.72,5.68,1.88,16.54,9.65,7.15,6.45,142.85,32.73,6.26,,8.82,,13.13,2.66,21.68,18.25,1.86,1.88,,,,,17.68,,1.1,,,12.97,22.02,,0.9,,1.17,5.89,43.87,10.66,12.9,,7.62,,,18.29,,,10,14166301913.999998,Services to the Health Industry,Health Services
