Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
CPK,,46.8,,12.2,10.1,4.4,8.1,,7.7,27.9,3.38,11.16,39.78,1.26,,0.02,0.01,114.0,0.38,22.49,52.22,28.51,5.23,1.09,,0.47,2.12,20.85,14.65,,16.1,9.62,4.85,5.42,4.8,0.38,,,2.26,21.11,6.35,9.01,13.27,119.01,41.03,3.54,,,13.61,,27.52,1.96,24.36,22.09,2.8,3.24,,,,,,1.8,1.16,,,10.95,71.07,3.14,3.73,3.3,0.32,3.43,8.32,7.43,8.94,,5.02,,,24.68,,,10,1977751620.0000005,Gas Distributors,Utilities
CPNG,13,67.35,,,,,,,24.5,83.16,,49.35,74.71,3.72,,0.7,1.49,22.58,1.12,32.35,91.08,5.06,4.72,0.96,,,,88.15,49.44,26,21.35,16.86,0.9,1.43,1.13,0.25,5.51,3.67,,149.29,,82.12,17.88,22.01,26.92,2.57,,,3.87,,0.86,10.55,38.99,162.36,,1.51,,,,,27.32,9.07,,,,18.57,27.16,,,11.4,0.87,8,10.9,7.05,29.67,,9.71,,,,,,1,32713861306.0,Internet Retail,Retail Trade
CPRI,,25.41,8.3,,,7.2,28.5,,17.9,10.36,,,18.44,2.19,,0.12,0.06,29.91,0.95,207.48,80.85,26.56,6.22,2.24,,,,22.36,13.73,58.11,13.44,9.71,1.35,1.35,4.47,0.24,3.39,4.83,,8.21,14.63,20.7,1.01,53.99,64.58,30.58,,,,,7.1,2.18,,14.35,6.83,0.69,,,,,29.71,,0.47,,,11.43,,,0.6,,0.44,,14.67,6.74,,,4.66,,,9.47,,,7,6061260402.0,Apparel/Footwear Retail,Retail Trade
CPRT,26.44,45.48,,33.2,,20.7,,37,20.1,54.08,,12.82,47.8,38.49,,5.48,27.58,50.97,7.36,7.03,67.92,15.19,0.06,0.02,,,,28.31,25.4,53.48,24.1,21.92,9.82,10.9,3.53,0.9,20.38,1.73,,31.47,20.71,38.74,9.96,49.3,45.88,,,,33.33,,38.49,6.84,35.89,41.44,1.95,11.96,,1.2,1.7,,58.56,3.7,1.45,21.78,14.82,35.63,51.26,2.14,3.46,7.45,7.28,19.26,52.83,24.06,21.73,,30.8,,,62.16,,,10,42124801025.0,Miscellaneous Commercial Services,Commercial Services
CPT,0.73,67.39,,9.7,6.4,20.4,10.4,56.3,10.6,73.41,4.36,18.24,69.38,2.06,,0.23,0.03,119.58,0.27,,129.91,2.66,3.17,0.73,,2.49,3.37,30.02,14.47,44.51,53.02,18.26,10.46,10.46,3.33,0.54,23.51,2.86,3.42,61.96,18.11,,2.58,127.18,61.79,2.4,,,25.64,,20.46,2.62,32.85,73.23,4.55,8.4,,,,17.18,35.7,2.92,0.94,,,16.44,23.1,4.49,1.95,2.62,0.27,4.31,,6.14,8.09,,3.45,,4.43,28.27,,,10,10983485571.0,Real Estate Investment Trusts,Finance
CQP,4.09,31.96,,,17.5,29.6,42.8,54.8,16.2,12.41,15.13,3.41,23.16,1.93,,0.19,0.02,47.49,0.65,12.08,4.68,17.77,3.55,,,0.82,7.79,10.19,8.64,13.52,12.56,10.31,4.04,4.26,9.81,,31.49,12.33,7.79,11.39,28.04,,4.97,40.61,54.3,4.59,,,32.76,,41.43,,10.02,9.99,0.56,2.5,,,,,8.03,,0.87,,,7.65,7.49,0.52,1.06,,0.57,16.25,23.08,23.55,,,20.74,,11.88,27.94,,,7,25687797421.0,Gas Distributors,Utilities
CR,62.87,46.24,0.7,,,,5.1,,,43.31,0.46,20.39,44.4,7.04,,0.44,0.59,151.01,2.13,98.08,42.78,54.74,1.01,0.27,,0.17,0.54,25.06,22,44.52,21.2,18.83,3.63,3.83,3.99,0.59,8.6,2.2,0.58,30.89,,15.59,8.08,84.26,38.08,12.96,,,10.91,,14.9,5.86,36.21,33.93,,3.96,,,,,45.86,5.14,3.66,,113.54,38.13,48.09,,2.8,17.52,1.38,10.36,49.36,18.08,17.84,,14.04,,6.17,30.38,,,10,4928627634.999999,Aerospace & Defense,Electronic Technology
CRC,,46.04,6.2,33.2,,,,,,52.28,2.51,,47.13,2.42,,1.74,0.84,48.59,2.43,20.21,70.19,32.19,2.45,0.6,,0.35,2.51,15.56,8.86,10.66,,4.33,1.6,1.95,6.43,0.46,18.31,9.83,3.2,9.53,,,5.37,44.92,46.64,7.19,,,7.17,,18.23,1.58,21.24,13.94,,1.46,,,,,8,1.01,,,,8,,,0.51,1.61,2.33,4.05,10.11,8.36,7.79,,9.03,,3.27,,,,5,3944638993.0,Integrated Oil,Energy Minerals
CRCT,,42.01,0.5,33.4,,,,5.6,,31.7,1.66,18.95,38.6,4.49,,1.08,25.32,6.1,2.21,241.38,58.08,43.54,0.09,0.03,,0.32,1.66,8.57,6.68,4.67,,,,1.25,11.67,0.6,26.88,16.36,3.26,20.51,,12.22,,7.17,48.61,570.45,,,9.16,,12.39,2.71,18.16,18.16,0.96,1.66,,,,,6.18,1.6,,203.33,4.15,5.59,9.4,1.34,,2.93,1.52,8.86,57.34,20.58,13.35,,20.25,,5.16,,,,6,2036178584.0,Wholesale Distributors,Distribution Services
CRGY,,40.63,,,,14.7,,,,50.06,4.29,15.49,41.68,0.84,,1.09,0.31,11.17,1.87,,110.56,69.24,2.54,1.18,,0.53,4.29,15.71,3.56,,4.79,1.88,1.01,1.34,6.37,0.28,,,4.29,15.01,,84.35,18.1,9.71,80.68,2.99,,,0.62,,19.52,0.57,49.32,11.92,,0.67,,,,,,0.57,,,,1.75,,,,0.59,1.87,0.23,3.72,3.65,0.91,,7.36,,,,,,3,2216186091.0,Integrated Oil,Energy Minerals
CRI,,52.43,5.8,2.6,71,18.5,23,0.1,4.9,61.87,9.55,,56.41,3.36,,0.6,0.3,62.76,2.09,143.37,61.59,22.41,2.66,1.31,,0.48,4.94,8.8,7.47,8.45,12.41,9.33,1.07,1.04,11.36,0.35,12.3,15.6,5.1,12.92,17.95,,,71.87,48.43,10.12,,,8.29,,11.27,2.8,9.69,9.81,2.8,0.8,,0.68,0.51,,6.36,1.89,0.59,,,5.48,6.32,1.89,0.62,8.15,0.95,10.25,29.66,18.48,29.36,,14.2,,12.99,9.54,,,10,2580510520.0,Apparel/Footwear Retail,Retail Trade
CRK,,53.38,,15.8,,10.5,,,12.3,71.73,2.43,45.85,59.04,0.87,,0.03,0.01,10.22,0.59,12.29,130.42,49.42,3.46,1.27,,,2.43,44,6.91,,,6.93,4.27,4.3,2.27,0.37,,,,695.04,20.17,,10.83,6.57,2.02,,,,,,,1.29,,,,2.09,,,,,,,2.2,,,5.16,,,1.46,1.51,0.59,,2.45,2.43,,,,,,,,,3,3235943370.0000005,Oil & Gas Production,Energy Minerals
CRL,0.81,33.37,,18.1,,9.7,8.6,,11.6,16.28,,,26.76,2.68,,0.19,0.06,203.49,1.58,45.92,19.49,52.27,2.82,0.76,,,,18.79,12.61,26.06,17.18,12.83,3.09,3.11,5.32,0.47,11.94,4.63,,25.9,19.1,14.3,5.97,234.16,34.93,4.16,,,10.59,,13.78,2.82,24.31,17.8,1.17,2.55,,0.63,1.45,,21.61,,0.91,,,13.98,21.43,1.18,1.23,,1.21,5.44,32.22,9.73,12.32,,6.32,,2.18,31.16,,,10,10658289460.0,Miscellaneous Commercial Services,Commercial Services
CRM,21.69,50.67,,10.8,,41.8,45.3,29.9,15.7,58.39,0.32,,52.42,4.82,,0.76,1.41,254.6,1.11,,,62.43,1.23,0.21,,0.04,0.32,36.15,23.42,21.03,19.39,15.43,6.3,6.67,2.77,0.62,31.71,4.59,0.63,42,22.76,14.61,9.24,252.75,76,,,,15.3,,18.45,4.14,45.79,28.42,0.84,7.01,,0.83,0.64,,22.07,7.29,0.88,,,20.9,37.98,1.14,1.82,42.08,1.11,5.78,106.57,9.12,9.34,,6.33,,3.93,165.32,,,8,208815530594.0,Packaged Software,Technology Services
CRNX,224.98,47.74,,15.6,,,,,,46.78,,49.12,45.9,21.67,,15.87,16.19,50.33,16.09,,,,,0.06,,,,,,,,,3097.33,2279.95,,0.89,,,,,,,170.58,0.0,,,,,,,,4.73,,,,2478.5,,,,,,,,5.26,5.18,,,,,4.81,16.09,,,,,,,,,,,,,1950120506.0000005,Pharmaceuticals: Major,Health Technology
CROX,38.42,51.56,2.8,76,,71.1,39.2,58.9,46.8,66.55,,30.2,56.9,4.07,,0.24,0.09,134.61,1.5,83.09,50.94,36.15,1.71,1.13,,,,9.13,8.62,10.76,8.92,8.49,2.3,2.33,10.95,0.35,21.62,10.97,,10.15,25.86,,4.66,130.85,57.11,7.72,,,20.02,,25.76,4.85,10.12,10.47,0.14,1.96,,,,,9.01,,1.39,,,8.16,6.88,0.42,1.09,,0.95,17.39,134.95,25.81,57.23,,23.4,,11.52,30.18,,,7,5424078005.999999,Apparel/Footwear,Consumer Non-Durables
CRS,92.89,63.05,,4.2,,,,4.6,21.6,57.76,0.57,80.64,61.06,4.6,,0.43,0.29,140.79,3.41,123.35,48.53,69.68,1.72,0.43,,0.17,0.57,27.44,18.3,41.51,,,1.22,2.68,3.64,0.5,6.46,2.55,0.57,20.74,3.15,28.31,9.47,62.35,21.17,6.08,,,6.76,,12.83,4.29,38.05,29.79,,2.57,,,,,39.93,2.58,2.52,,,25.86,179.34,,3.87,5.04,1.84,5.92,11.97,10.03,12.55,,11.44,,1.23,135.38,,,8,3273790465.9999995,Other Metals/Minerals,Non-Energy Minerals
CRTO,34.77,69.29,2.8,1.7,,,39.9,4.6,,72.6,,27.2,69.84,3.04,,0.24,2.19,47.77,1.19,,241.32,120.01,0.47,0.1,,,,17.28,11.14,17.67,15.75,5.41,0.86,1.3,5.79,0.48,7.37,5.39,,24.72,,11.73,,26.72,47.62,21.06,,,5.22,,7.51,2.5,27.78,13.49,,1.53,,,,,24.09,2.11,1.54,,183.71,15.51,34.35,,1.4,7.45,1.19,4.61,62.85,12.22,9.86,,9.25,,5.56,36.38,,,10,1680423782.0,Advertising/Marketing Services,Commercial Services
CRVL,20.12,61.17,1.4,5.5,,15.4,19.9,,14.7,61.97,,12.13,60.24,18.93,,0.66,4.33,305.23,1.66,,8.4,24.66,0.25,0.12,,,,51.56,40.52,70.76,,,,6.17,1.94,0.54,8.72,1.36,,,13.53,,,238.71,21.79,,,,9.55,,11.96,19.81,67.68,67.68,6.38,6.47,,3.21,3.72,,74.26,8.34,2.91,,47.1,51.31,74,5.46,5.21,23.09,1.66,17.44,88.37,37.88,33.21,,27.77,,0.78,99.75,,,10,3414019509.0000005,Insurance Brokers/Services,Finance
CRWD,150.52,30.59,,34.8,,,,41.6,46.2,49.08,,15.16,33.97,8.92,,1.38,4.67,248.11,1.8,,14.43,69.32,2.2,0.31,,,,279.87,153.25,54.02,87.09,66.82,13.86,16.85,0.36,0.37,31.19,1.76,,300.92,,135.37,25.65,352.77,75.29,0.94,,,4.01,,0.74,22.96,451.58,69.58,,17.95,,,,,57.6,10.69,,,112.78,47.25,358.83,,7.54,35.65,1.8,2.2,31.3,5.51,6.38,,0.51,,,,,,1,39507534420.00001,Packaged Software,Technology Services
CSAN,,52.88,,48.3,4.7,23.7,66.1,34.4,23.8,73,6.49,,59.05,0.89,,1.17,0.31,10.01,1.79,23.92,47.98,33.59,4.69,3.18,,0.39,3.49,8.56,6.43,17.1,5.66,3.49,0.45,2.27,11.68,0.15,10.38,17.99,3.49,10.07,31.27,27.21,54.02,14.96,28.56,1.33,,,4.55,,18.68,1.24,12.9,11.3,0.5,0.66,,,,,6.32,,0.39,,,2.54,,0.55,0.44,,1.68,1.31,40.46,8.74,9.25,,6.91,,,13.35,,,10,7103442474.705,Gas Distributors,Utilities
CSCO,,42.09,1.4,6.8,2.7,3.4,5.9,10.4,6.2,42.26,4.23,,40.89,2.24,,0.47,0.59,45.37,0.89,62.62,40.07,34.02,1.87,0.7,,0.45,3.46,12.92,11.33,15.63,10.79,9.57,3.5,3.5,7.74,0.37,22.42,6.79,3.51,18.98,10.36,5.25,,51.17,64.65,21.02,,,21.88,,26.54,4,15.28,13,3.42,3.36,,0.94,1.03,,14.91,,0.9,,,14.11,19.74,,1.07,,0.82,11.6,739.97,20.6,27.06,,13.67,,3.5,17.59,,,10,227234227316.0,Information Technology Services,Technology Services
CSGP,,41.67,,9.7,,,27.4,,11.7,39.13,,,39.94,11.95,,8.76,4.46,73.17,9.27,,44.2,27.11,5.66,0.15,,,,383.99,131.92,,,360.8,9.33,9.89,0.26,0.82,,,,245.45,,,14.87,91.18,79.34,,,,8.19,,2.58,4.05,138.06,68.38,27.35,11.47,,3.71,,,,4.42,0.87,9.22,8.47,76.62,,,2.96,6.41,9.27,2.39,10.24,0.8,2.93,,1.29,,,114.33,,,9,32307593617.0,Internet Software/Services,Technology Services
CSGS,,61.73,3.3,,6,6.9,24,,8.2,64.72,3.39,,62.45,3.19,,0.23,0.19,46.75,1.59,,26.34,83.68,2.99,2.13,,0.32,2.53,15.06,9.46,18.94,,7.28,1.53,1.57,6.64,0.2,8.31,7.05,2.62,16.38,8.44,8.06,1.86,61.67,47.02,4.24,,,5.53,,11.36,5.06,21.06,13,6.84,1.16,,0.91,1.12,,13.93,,0.73,,,11.5,22.33,,1.12,,1.59,4.82,61.94,14.02,22.15,,8.18,,5.69,19.98,,,10,1673161598.0,Data Processing Services,Technology Services
CSIQ,,45.7,,13.8,,19.9,10.9,,23.6,55.72,,,47.55,0.96,,0.34,0.4,14.58,1.02,87.34,49.89,50.27,11.41,2.05,,,,8.75,8.75,,8.34,4.42,0.52,0.55,11.43,0.21,,,,4.87,,16.86,10.02,39.16,16.78,2.74,,,2.8,,4.86,0.38,5.06,5.57,0.78,0.13,,0.45,,,,0.31,0.4,,,3.14,,0.58,,0.39,0.79,1.79,8.78,8.32,8.4,,3.46,,,4.51,,,10,1767140366.9999998,Semiconductors,Electronic Technology
CSL,49.3,38.93,3.4,7.3,16,23.3,37.1,24.3,8,36.81,1.76,25.26,36.79,5.89,,1.59,0.76,395.54,2.89,51.7,39.27,58.4,1.69,0.76,,0.18,0.89,15.37,13.48,17.47,13.54,11.47,3.57,3.71,6.51,0.45,21.24,5.73,1.04,20.55,22.73,16.5,7.24,297.68,37.57,15.33,,,27.88,,23.43,6.11,13.98,21.03,1.19,3.87,,0.87,0.75,,18.53,8.89,2.01,,,16.48,13.39,1.09,1.79,84.52,2.5,20.24,47.71,20.81,46.96,,16,,10.64,34.94,,,10,13442193050.0,Building Products,Producer Manufacturing
CSTM,6.03,28.61,,,,11.2,52.8,,7.3,28.09,,1.63,27.46,2.17,,0.15,0.12,15.96,1.33,66.35,73.47,32.35,2.91,1.99,,,,10.58,5.77,19.18,8.82,5.4,0.58,0.55,9.45,0.19,2.85,9.44,,8.79,17.22,34.2,7.6,16.23,10.02,3.54,,,2.34,,5.67,2.18,13.03,13.03,2.83,0.31,,,,,10.82,1.75,1.33,,,3.88,5.33,1.4,1.15,5.03,0.6,3.32,15.11,10.76,18.37,,7.73,,8.61,137.08,,,5,2529606971.0,Miscellaneous Commercial Services,Commercial Services
CSWI,48.7,56.52,0.3,14.3,12.1,34.4,35,35.7,22.5,51.94,0.26,27.23,54.45,9.74,,0.16,0.16,304.85,2.73,124.55,39,57.24,0.57,0.18,,0.11,0.26,29.36,23.73,29.54,15.89,,5.65,5.87,3.41,0.62,19.86,3.46,0.28,34.43,21.97,,,179.23,44.87,15.04,,,13.44,,20.72,7.22,43.01,43.01,1.78,5.77,,1.62,0.85,,29.06,10.03,,,,26.64,31.32,1.74,2.65,52.11,1.44,10.68,56.3,17.86,18.26,,13.62,,2.92,86.98,,,9,2771970504.0,Industrial Specialties,Process Industries
CSX,9.89,44.13,5.1,2.7,8.2,13.2,15.1,12.4,16.6,34.45,2.07,,40.74,2.44,,0.45,0.07,33.22,1.16,17.13,47.85,25.71,2.65,1.51,,0.25,1.39,14.9,11.51,28.53,14.63,11.31,5.55,5.65,6.71,0.3,19.81,4.5,1.45,17.15,7.39,8.92,3.39,35.82,36.86,6.57,,,24.52,,37.06,5.1,18.25,18.33,1.97,4.5,,0.81,0.66,,22.61,2.08,1,,,12.49,18.45,,1.42,5.33,1.01,8.52,15.72,14.13,29.14,,10.38,,4.18,19.31,,,10,61895279910.0,Railroads,Transportation
CTAS,47.29,59.87,0.9,6.4,2.5,13.9,13.9,12.7,12,62.18,1.73,19.11,59.3,13.06,,0.19,0.13,759.12,1.74,111.15,23.5,46.63,1.06,0.62,,0.36,0.7,38.02,31.34,47.22,35.03,29.21,7.66,8.22,2.63,0.47,17.41,2.18,0.81,45.53,13.57,10.28,7.23,550.91,48.83,20.53,,,16.38,,21.56,17.81,50.14,50.14,4.14,8.16,,1.58,1.36,,46.96,14.8,2.26,,,37.74,45.46,4.2,4.09,98.33,0.95,17.77,62.16,27.76,38.36,,21.26,,1.94,74.28,,,10,52752238731.0,Other Consumer Services,Consumer Services
CTLT,25.2,70.42,,12.8,,,,,5,67.68,,2.38,70.46,1.19,,0.16,0.03,59.71,2.51,86.33,42.89,81.19,,1.38,,,,,,,43.45,19.99,3.37,3.78,,0.37,,,,509.83,4.03,,4.83,62.14,18.96,,,,,,,2.99,,,,2.63,,,,,,,1.15,,,43.94,,,7.33,27.26,1.74,,,,,,,,,78.57,,,9,8862158146.0,Pharmaceuticals: Major,Health Technology
CTOS,,43.14,,,,,,,7.1,44.53,,,42.18,0.74,,0.01,,4.3,1.3,260.6,32.05,35.04,6.61,2.85,,,,23.82,9.27,,,,1.9,1.91,4.2,0.24,,,,41.51,,,5.19,7.61,23.12,0.96,,,,,8.11,1.16,,380.91,,0.57,,,,,,,,,,,,33.08,,,0.2,,6.91,5.88,,,8.59,,,,,,2,1608094655.0000002,Finance/Rental/Leasing,Finance
CTRA,,36.97,,46.2,43,43.4,62.1,59.7,28.6,50.08,25.68,12.54,39.37,2.37,,0.79,0.45,23.94,1.4,6.23,7.56,39.87,0.83,0.23,,0.48,3.45,10.82,5.5,20.14,9.56,5.16,3.32,3.47,9.24,0.63,17.24,5.51,3.53,12.42,27.81,17.19,7.03,25.05,40.91,15.59,,,23.18,,30.61,1.36,13.84,13.89,0.61,3.16,,,,,18.54,0.92,0.64,,,6.16,10.84,0.56,0.62,1.36,1.38,6.42,9.94,9.6,10.15,,7.01,,4.58,18.7,,,8,21080871317.0,Integrated Oil,Energy Minerals
CTRE,27.79,67.46,,4.3,3.8,,,,0.5,74.67,5.7,14.81,69.73,3.56,,6.05,0.74,27.93,6.42,,1097.54,0.91,4.08,0.35,,1.29,4.14,40.21,27.13,24.32,19.97,19.16,20.14,20.91,2.49,0.72,85.98,4.28,4.21,26.98,,12.89,13.14,17.69,95.13,3.38,,,34.88,,58.36,2.2,47.15,31.54,,16.24,,,,20.23,19.02,1.76,1.62,,,18.38,31.58,,1.41,2.21,6.42,3.5,,5.54,5.35,,6.54,,,48.66,,,8,2017379031.0,Real Estate Investment Trusts,Finance
CTS,16.25,34.22,1.5,9.2,,13.6,26.3,7.3,10.2,29.75,0.36,17.38,31.09,6.66,,1.74,1.75,46.26,3.41,64.77,50.72,61.17,0.92,0.18,,0.08,0.36,18.24,12.94,16.83,,,2.15,2.52,5.48,0.72,14.99,5.5,0.36,23.6,6.77,7.7,3.72,39.78,34.93,21.4,,,10.7,,14.34,2.69,26.14,23.18,,2.79,,,,,18.7,2.32,1.33,,12.57,15.66,19.26,,1.37,5.22,2.85,7.43,38.02,11.09,10.54,,12.02,,4.45,44.48,,,9,1306892131.0000002,Electronic Production Equipment,Electronic Technology
CTSH,2.07,55.65,2.1,9.1,9.6,10.6,10,,7.6,55.73,2.39,,54.62,7.54,,0.75,1.78,74.27,2.46,,9.06,72.78,0.35,0.09,,0.25,1.59,11.94,10.07,21.88,12.1,10.08,1.82,1.83,8.38,0.75,8.37,4.38,1.61,16.35,12.03,6.17,4.11,71.75,34.39,69.23,,,11.39,,15.45,2.66,16.92,16.04,3.08,1.94,,1.19,1.43,,23.2,2.03,0.77,,14.39,19.42,25.8,2.52,1.05,5.79,2.46,11.99,80.95,19.45,16.53,,14.72,,4.45,18.95,,,10,35438754979.99999,Information Technology Services,Technology Services
CTVA,1.32,38.67,1.9,2.3,6,12.2,21.5,,8.5,30.52,1.27,,34.66,2.05,,0.22,0.42,51.73,1.72,230.42,140.48,121.13,1.88,0.19,,0.24,1.27,29.86,15.19,48.5,13.24,10.82,2.2,2.26,3.35,0.61,4.66,2.22,1.35,22.45,,13.39,2.77,56.58,43.91,9.4,,,5.31,,12.63,1.41,39.4,19.4,,2.13,,,,,47.12,2.39,,,,26.29,,,1.41,6.58,1.17,2.08,14.35,3.9,3.55,,5.23,,1.58,,,,6,37298096453.0,Chemicals: Agricultural,Process Industries
CUBE,12.62,53.04,,10.3,14.2,15,26.8,14.5,10,45.41,6.86,10.37,49.94,1.99,,0.01,,48.52,0.29,,253.12,2.91,4.2,1.07,,1.13,4.18,27.49,19.42,21.57,27.7,19.59,18.02,12.88,3.64,0.45,59.69,5.79,4.22,28,16.24,,3.35,46.57,70.87,5.37,,,38.07,,46.3,3.94,27.26,27.26,2.52,10.36,,0.79,1,18,17.35,2.19,1.07,,,17.35,,2.39,1.37,3.94,0.29,6.49,989.29,8.52,14.46,,7.95,,5.02,45.35,,,10,9239632233.0,Real Estate Investment Trusts,Finance
CUK,9.78,35.15,,,,,,,36,34.18,,21.34,32.06,0.66,,0.12,0.05,13.63,0.28,10.41,22.92,8.2,5.83,4.5,,,,16.27,8.72,28.5,13.3,7.43,1.8,1.95,6.15,0.14,6.8,9.34,,9.69,33.86,366.26,6.39,19.81,25.35,1.49,,,3.82,,12.1,2.49,20.97,17.93,,0.73,,,,,11.28,1.62,0.32,,,2.65,8.41,,,3.34,0.24,1.79,6.67,7.36,13.45,,5.01,,33.12,,,,6,19067138407.462,Hotels/Resorts/Cruise lines,Consumer Services
CUZ,4.43,58.37,,,2.2,,,0.9,2,45.44,5.74,9.38,54.6,0.68,,0.01,,27.05,0.51,,,5.44,5.14,0.59,,3.32,4.72,38.65,13.02,18.51,,,,8.17,2.59,0.58,44.14,8.77,4.72,79.98,9.46,,4.02,26.05,67.02,1.54,,,7.25,,21.24,0.92,69.36,70.08,28.03,5.05,,,,10.29,11.38,1.72,0.67,,,11.38,,,0.61,0.94,0.51,0.78,836.33,2.42,1.31,,2.27,,1.67,16.3,,,10,3452869308.0,Real Estate Investment Trusts,Finance
CVAC,,43.19,,,,,,,,36.48,,,40.29,,,1.81,7.48,3.31,2.25,60.58,53.06,60.95,,0.09,,,,,,,3.41,2.92,0.89,6.92,,0.65,,,,4.72,,,,16.72,,,,,,,,1.5,,,,11.36,,,,,,,,11.41,5.09,,,,,1.65,2.09,,,,,,,,,,,,,1793303457.0000002,Pharmaceuticals: Major,Health Technology
CVCO,26.92,48.08,3.4,18.8,,31.7,30.6,36.3,20.6,50.28,,5.27,46.38,8.57,,1.28,11.22,374.52,2.96,64.41,8.37,16.5,0.17,0.03,,,,14.38,13.05,15.41,,,,1.47,6.95,0.75,9.55,5.55,,18.58,24.48,,,307.83,22.96,109.53,,,8.12,,8.98,2.98,21.81,21.81,0.74,1.75,,0.63,0.54,,18.64,1.84,1.21,81.77,5.77,16.87,50.46,0.87,1.16,3.48,2.14,10.75,47.11,17.2,14.24,,15.93,,4.11,29.94,,,10,2397590873.9999995,Homebuilding,Consumer Durables
CVE,0.56,48.85,,3.5,102.7,105,,,36.5,63.67,6.72,22.69,52.16,2.95,,0.45,0.32,19.15,1.66,35.67,41.64,21.97,0.85,0.33,,0.27,2.3,8.05,4.72,9.26,,,0.97,0.94,12.42,0.54,10.12,12.44,2.42,9.46,26.99,9.54,,18.34,24.03,10.23,,,8.02,,11.59,1.64,10.4,9.76,,0.83,,,,,8.17,0.9,1.04,,,4.73,6.35,0.39,0.72,1.84,1,8.76,16.82,14.48,16.55,,11.41,,8.34,33.43,,,7,39257405542.46527,Integrated Oil,Energy Minerals
CVI,,48.68,,,18.6,,,,33,49.49,7.85,,49.16,3.18,,0.57,0.37,25.45,1.46,27.33,24.99,12.4,1.54,1.88,,0.75,7.85,4.93,3.48,10.45,10.59,5.66,0.46,0.42,20.28,0.21,4.04,13.52,7.85,19.68,14.14,,,27.08,10,12.43,,,6.4,,8.43,3.01,4.68,9.53,,0.3,,,,,7.5,1.13,0.84,,,4.39,8.99,,0.5,3.01,0.93,12.76,31.58,24.31,63.8,,22.58,,2.17,10.18,,,9,3473332205.0,Oil Refining/Marketing,Energy Minerals
CVNA,231.48,52.29,,,,,,,,48.59,,162.15,50.78,3.76,,0.48,0.09,146.49,3.11,45.6,9.78,10.13,3.71,11.69,,,,16.65,13.37,30.4,30.53,19.83,1.74,1.9,6.01,0.07,6.32,4.07,,,,,17.02,27.88,18.77,0.61,,,6.12,,3.47,33.68,51.4,,,2.17,,,,,32.03,,,,,29.27,20.88,,,36.71,2.02,9.89,23.97,23.24,510,,6.35,,12.68,,,,1,9888969311.0,Specialty Stores,Retail Trade
CVS,,39.15,0.6,3.9,6.6,2.7,3.5,,10.7,28.67,5.55,,35.25,2.13,,0.2,0.19,55.82,0.86,20.19,16.79,17.9,4.92,1.12,,0.41,4.65,11.05,8.09,26.13,11.24,8.14,0.37,0.38,9.05,0.3,1.45,7.51,4.75,10.47,16.63,7.69,4.68,103.61,14.7,4.38,,,1.98,,3.41,0.94,9.93,9.05,1.01,0.2,,,,,13.31,,0.49,,,8.75,14.53,,0.37,,0.66,2.87,41.1,7.35,9.65,,4.84,,0.16,10.17,,,9,91025364049.0,Drugstore Chains,Retail Trade
