Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
HTLD,,49.09,0.7,6.8,,6.9,,,24.4,32.73,0.65,,43.95,2.81,,0.18,0.1,12.18,1.23,,16.97,35.86,1.79,0.3,,,0.65,,8.63,,,7.17,1.13,1.08,,0.59,,,0.65,87.17,9.91,,,24.53,9.46,,,,,,,1.14,,,,0.87,,,,,,,0.35,,,7.44,,,1.78,2.29,1.23,,,,,,,,2.37,11.71,,,10,1242311544.0,Trucking,Transportation
HTZ,,45.98,,204.5,,17.3,,10.8,,39.42,,,44.38,0.35,,0.27,0.03,3.78,1.06,,38.81,49.89,5.13,9.95,,,,40.9,5.47,,,,2.08,2.13,2.44,0.08,,,,12.42,,,2.69,21.07,8.08,,,,,,,0.59,,,,0.12,,,,,,,,,,0.51,,,,,1.06,,,,,,,,,,,,5,5017470295.0,Finance/Rental/Leasing,Finance
HUBB,22.52,46.27,0.4,12,7.3,23.3,29,8.5,13.8,41.13,1.87,6.2,45.09,5.27,,0.32,0.19,364.42,1.81,81.77,56.8,55.39,1.79,0.71,,0.31,1.29,21.09,17.81,30.57,17.28,16.97,3.69,3.84,4.74,0.44,12.56,3.58,1.33,25.52,17.03,7.15,5.73,309.34,34.09,17.57,,,13.14,,18.51,6.41,26.93,23.35,2.2,3.5,,1.41,1.72,,28.1,,1.83,,,22.59,26.19,1.64,2.17,,1.13,11.42,76.63,19.53,25.76,,15.97,,,41.32,,,10,16939356661.000002,Electrical Products,Producer Manufacturing
HUBG,,40.12,2.5,15.1,,23.1,32.3,70.6,8,21.27,0.62,,33.43,3.94,,0.35,0.43,42.41,1.32,,33.62,55.1,1.49,0.32,,0.06,0.62,16.23,7.97,11.99,17.71,8.25,0.68,0.73,6.16,0.57,6.15,10.71,1.19,21.38,25.8,10.46,5.93,37.67,11.2,11.1,,,2.89,,3.65,1.61,20.15,20.58,1,0.63,,0.88,0.28,,9.5,2.1,1.39,,,7.48,12.28,1.2,0.78,4.25,1.32,4,13.87,6.98,7.08,,5.51,,1.47,17.03,,,10,2578734311.0,Air Freight/Couriers,Transportation
HUBS,21.41,34.23,,16.5,,,,95.7,30.2,28.61,,,32.83,8.8,,1.58,1.96,455.46,2.07,,8.13,37.64,,0.53,,,,,,79.91,131.12,86.27,8.98,10.06,,0.45,12.58,1.24,,62.28,,,18.62,641.53,84.32,,,,,,,15.95,,103.37,,10,,,,,80.08,9.75,0.89,,95.89,57.99,,,7.35,20.71,2.07,,,,,,,,,,,,,25594841231.0,Packaged Software,Technology Services
HUN,,41.9,8,5.8,13.5,,,,8.3,26.78,6.77,,37.74,1.98,,0.35,0.22,21.48,1.55,67.7,53.89,50.89,7.06,0.79,,9.64,4.52,78.69,16.54,80.87,28.57,11.84,0.93,0.97,1.27,0.42,1.21,1.94,4.64,57.13,10.1,81.66,5.14,26.29,14.03,0.61,,,,,0.67,1.17,,214.8,,0.62,,,,,53.44,4.07,0.9,,,12.65,,,0.55,1.73,0.98,,2.08,1.19,,,,,6.67,8.29,,,10,4566570649.0,Chemicals: Major Diversified,Process Industries
HURN,,56.39,6.7,6,,30.3,31.7,,21.5,40.67,,,51.01,3.5,,0.08,0.03,104.74,1.93,,3.98,43.81,3.05,1.11,,,,15.57,13.49,27.61,,,1.65,1.69,6.42,0.38,6.11,4.8,,18.41,21.9,,,105.8,30.36,7.02,,,5.46,,10.84,3.72,24.76,18.73,1.3,1.39,,,,,22.62,,1,,,16.04,135.34,1.01,1.26,,1.93,6.17,228.57,14.97,15.15,,11.34,,5.97,85.14,,,8,1884726775.9999995,Miscellaneous Commercial Services,Commercial Services
HWKN,83.42,77.68,0.3,15.6,10.2,20.2,23,73.8,15.9,85.02,0.93,52.41,80.48,8.24,,0.09,0.06,114.64,2.27,37.64,26.84,48.75,0.98,0.34,,0.17,0.54,23.73,18.22,26.9,,17.44,2.7,2.89,4.21,0.6,10.75,4.14,0.6,30.65,21.69,,,54.47,22.33,25.32,,,8.75,,12.05,5.64,29.78,29.78,1.49,2.62,,,,,24.27,4.15,2.51,,,16.88,21.42,1.39,2.49,13.01,1.44,12.74,33.84,20.83,20.46,,15.05,,1.96,60.34,,,9,1237989691.0,Chemicals: Specialty,Process Industries
HWM,60.65,61.92,1.8,6.1,104.1,23.2,28.8,,10,57.61,0.18,36.36,61.96,4.96,,0.32,0.2,86.75,1.53,129.6,68.64,36.84,2.35,0.89,,0.08,0.22,29.5,24.57,41.07,24.64,21.09,5.36,5.63,3.39,0.4,13.7,2.75,0.37,33.94,12.88,23.52,9.94,53.97,29.65,6.94,,,13.15,,19.95,8.38,38.38,38.59,8.21,5.06,,,,,36.84,,,,,29.26,41.09,3.23,6.3,,0.74,8.99,37.32,15.66,23.27,,13.15,,2.14,255.15,,,7,19241869930.0,Aerospace & Defense,Electronic Technology
HXL,,42.39,,4.2,43.3,19.4,93.5,,5.4,32.81,0.93,,39.73,4.57,,0.26,0.1,60.93,2.75,90.66,32.47,50.63,2.95,0.51,,0.3,0.93,40.23,21.55,32.39,21.67,15.13,3,3.14,2.49,0.56,9.69,3.6,0.97,28.79,,23.5,9.65,77.49,23.76,7.2,,,5.79,,11.67,3.17,47.98,32.94,,2.78,,,,,29.02,2.35,0.97,,,19.66,54.37,,1.74,3.76,1.55,3.73,7.08,5.59,6.5,,7.56,,5.41,24.47,,,10,5769007968.999999,Aerospace & Defense,Electronic Technology
