Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
COTY,,47.91,,4.4,,,,,0.3,52.58,,,49.3,0.73,0.11,0.06,9.97,0.8,134.23,231.05,27.22,3.9,1.02,,,,19.47,11.78,43.61,14.1,10.23,1.94,2.08,5.14,0.34,4.76,3.36,,17.79,,10.15,7.24,11.22,64.09,2.59,,3.59,,11.05,2.17,43.54,24.93,,1.5,,,,,31.34,,0.95,,,16.57,32.03,,1.76,,0.5,1.73,66.1,6.56,5.37,,3.89,,3.71,,,,4,10156910967.0,Household/Personal Care,Consumer Non-Durables
COUR,,81.05,,,,,,,23.2,91.67,,,86.56,2.95,2.24,292.15,9.34,2.6,,111.7,34.53,,,,,,,,15.46,128.04,32.6,1.38,1.44,,0.65,9.29,4.29,,50.03,,210.83,12.13,18.36,52.28,,,,,,2.49,,,,2.13,,,,,23.12,,,3.74,2.91,18.13,,,,2.56,2.6,,,,,,,,2.98,,,,,2727373427.0,Internet Software/Services,Technology Services
CP,,54.69,,59.4,2.2,,2.8,1.8,5.8,51.75,1,,53.65,2.01,0.08,0.02,82.28,0.49,19.77,31.39,44.23,,0.53,,0.2,0.68,,,77.97,22.94,17.24,8.9,9.04,,0.52,11.91,1.59,0.67,26.48,7.43,15.71,10.86,97.78,50.19,5.92,,28.26,,35.31,2.48,26.35,29.25,,7.7,,,,,64.58,2.57,1.3,,,24.91,,,2.12,4.92,0.43,4.94,,,9.51,,,,,31.65,,,10,74405082759.37338,Railroads,Transportation
CPA,,41.22,0.3,18.5,60.1,,,,65.8,37.02,5.31,,40.16,2.53,0.61,0.47,91.09,0.91,18.28,29.96,17.6,2.05,0.77,,0.27,5.31,5.67,5.67,4.51,6.13,4.09,1.29,1.35,17.64,0.42,29.93,27.45,7.08,6.07,4.95,9.51,7.97,118.03,37.16,5.44,,16.33,,23.83,1.73,6.55,6.07,,1.07,,,,,3.57,0.7,0.69,,,3.57,6.55,,0.48,1.81,0.82,11.2,24.49,22.79,29.99,,14.15,,4.29,15.54,,,8,3693262972.0,Airlines,Transportation
CPB,,57.75,0.4,13.1,1.9,6.1,9.9,,2.8,59.36,3.36,3.22,58.36,1.94,0.03,0.02,47.0,0.62,72.32,75.29,23.51,4.48,1.84,,0.59,3.13,17.5,13.12,33.22,13.1,10.09,1.99,2.23,5.71,0.26,6.73,4.51,3.13,14.48,9.35,4.87,4.92,50.44,31.37,5.69,,7.85,,12.93,3.58,19.03,18.58,4.65,1.48,,,,,22.23,,0.85,,,12.56,21.03,,1.12,,0.24,5.8,47.69,11.69,19.69,,8.2,,,15.82,,,10,12829876464.000002,Food: Major Diversified,Consumer Non-Durables
CPG,,39.52,,27.6,181.1,,63.8,80,26.4,34.15,11.36,20.15,36.72,,,,7.47,0.49,,118.73,34.39,1.64,0.46,,0.31,4.22,15.93,5.09,11.11,,,2.54,2.16,6.28,0.58,19.85,13.53,4.42,9.69,11.82,11.56,7.69,7.63,60.57,6.42,,,,28.56,0.98,,7.06,,1.4,,,,,6.93,0.58,0.92,,,2.61,11.67,,0.57,1.02,0.49,,5.57,5.63,,,8.34,,,,,,4,4540839274.133391,Integrated Oil,Energy Minerals
CPK,,70.44,,12.2,10.1,4.4,8.1,,7.7,72.82,3.3,3.03,72.88,1.31,,,117.75,0.46,23.23,48.6,30.61,5.42,1.08,,0.45,2.07,22.79,15.79,,16.1,9.62,4.94,5.77,4.39,0.38,,,2.17,21.77,7.04,9.01,13.27,123.25,40.49,4,,13.9,,26.75,2.04,24.74,22.64,2.87,3.37,,,,,,1.86,1.22,,,10.65,63.26,2.97,3.61,3.45,0.38,3.65,8.3,7.54,9.48,,5.13,,,25.82,,,10,1977751620.0000005,Gas Distributors,Utilities
CPNG,16.32,40.6,,,,,,,24.5,41.72,,44.18,39.8,3.54,0.7,1.45,20.3,1.15,32.57,87.79,4.16,4.06,0.89,,,,58.84,38.65,23.69,21.35,16.86,0.9,1.34,1.7,0.27,5.66,4.01,,,,79.26,17.88,21.81,26.07,6.09,,4.96,,1.58,8.94,28.88,78.08,,1.43,,,,,25.2,5.82,,,,15.5,,,,9.76,0.89,10.57,15.52,10.26,38.77,,15.81,,,,,,1,32713861306.0,Internet Retail,Retail Trade
CPRI,,49.26,8.3,,,7.2,28.5,,17.9,48.79,,,48.8,2.23,0.12,0.06,33.7,0.95,207.48,80.85,26.56,6.22,2.24,,,,18.9,12.72,60.94,14.26,10.36,1.45,1.41,5.29,0.24,2.32,3.05,,9.65,13.7,21.62,1.31,54.08,64.58,30.58,,,,7.1,2.46,,12.4,5.9,0.77,,,,,33.47,,0.49,,,12.9,,,0.64,,0.44,,14.67,6.74,,,4.66,,,10.66,,,7,6061260402.0,Apparel/Footwear Retail,Retail Trade
CPRT,22.24,37.47,,33.2,,20.7,,37,20.1,33.85,,11.3,34.79,39.05,5.48,27.58,51.05,7.36,7.03,67.92,15.19,0.06,0.02,,,,28.79,25.83,54.37,24.51,22.29,9.98,11.08,3.47,0.9,20.38,1.73,,31.41,20.69,38.74,9.96,49.11,45.88,,,33.33,,38.49,6.85,35.95,41.5,1.96,11.89,,1.33,1.88,,58.63,3.71,1.46,21.82,14.84,35.67,51.29,2.14,3.46,7.46,7.28,19.26,52.83,24.06,21.73,,30.8,,,62.26,,,10,42124801025.0,Miscellaneous Commercial Services,Commercial Services
