Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
BAM,46.84,63.88,22.44,,,,,,,,,64.71,2.55,46.19,63.5,14.82,,0.01,0.08,57.86,0.87,,764.7,524.02,0.56,0.07,,1.35,2.59,70.28,69.53,177.13,,,4.37,69.29,1.42,0.74,37.04,0.57,2.59,34.19,,22.77,137.55,0.0,1.36,,,,118.95,,,8.06,57.15,57.15,,67.1,,,,,279.83,,4.46,,,,279.83,,,,8.06,0.87,12.39,583.07,14.3,17.37,,,,2.24,,,,4,14874503718.180237,Investment Managers,Finance
BATRA,2.73,45.17,,,15.3,,2.1,30.2,21.9,,51.2,44.52,,2.36,44.7,1.3,,0.31,0.14,41.42,0.7,,55.04,37.56,14.6,1.4,,,,,61.68,,,18.57,4.51,4.63,,0.34,,,,,,,,40.06,20.73,,,,,,,4.86,,,,3.85,,,,,,1.03,,,,,231.96,,,,11.15,0.7,,,,,,,,,,,,1,2211254972.0,Movies/Entertainment,Consumer Services
BAX,,20.94,,,,6.7,,,,,9,5.5,5.7,,14.51,2.09,,0.23,0.11,29.64,1.43,87.38,37.48,51.07,8.65,1.68,,0.78,3.54,116.5,17.57,68.53,14.06,9.05,1.98,1.55,0.86,0.3,2.26,2.6,2.31,11.85,11.67,,,33.96,33.42,1.3,,,0.63,,3.21,1.91,147.1,19.82,,0.87,,,,,38.31,0.87,,0.29,,,14.09,,,0.88,,1.09,0.39,3.11,1.06,1.34,,3.18,,24.95,9.87,,,9,19790301124.0,Medical Specialties,Health Technology
BB,,72.4,,,,,,38.8,,,,78.43,,3.48,75.2,,,0.69,0.84,3.2,1.44,,24.74,92.3,,0.34,,,,,,,,,2.94,2.93,,0.56,,,,57.14,28.01,,,4.22,70,,,,,,,2.6,,,,3.05,,,,,,0.76,,0.82,,,,,,24.62,51.5,1.44,,,,,,,,10.54,,,,3,3143662544.1810694,Packaged Software,Technology Services
BBIO,,55.95,,,,,4.3,,2,,,48.29,,,54.92,,,1.91,0.15,27.82,3.19,,1566.94,,,,,,,,,,,,38.84,30.77,,,,,,,,,204.91,27.38,98.9,,,,,,,,,,,22.77,,,,,,1.02,,,,,,,,,,3.19,,,,,,,,,,,,,4732821227.999999,Biotechnology,Health Technology
BBU,28.64,38.96,15.26,2,3.3,1.5,24,,,6.86,18.2,14.35,1.33,29.37,29.57,0.96,,0.31,0.09,22.85,1.17,37.48,65.09,47.02,5.64,21.49,,0.03,1.06,10.06,5.64,199.7,,,0.57,0.91,9.94,0.03,0.47,11.72,1.06,33.1,42.62,,,17.6,11.83,1.32,,,1.4,,9.09,0.92,3.05,,,0.04,,,0.68,,8.53,1.3,,,,,0.66,2.62,,0.16,,0.95,0.79,26.94,6.26,36.07,,6.54,,250.53,15.48,,,6,1266182575.792287,Miscellaneous Commercial Services,Commercial Services
BBUC,17.8,41.57,15.14,0.5,,,19.5,,,3.84,,17.76,0.97,27.23,32.63,0.19,,0.14,0.08,24.88,0.6,9.53,45.85,71.84,8.3,23.35,,,0.98,40.73,9.91,,,,,1.33,2.46,0.02,,,0.98,,,,,23.94,8.4,0.31,,,,,3.25,5.22,,,,0.25,,,,,,1.04,,,,,,,,,,0.58,,8.97,1.54,,,1.1,,238.78,,,,3,1980748365.8733337,Engineering & Construction,Industrial Services
BBWI,,65.31,8.16,6.7,,38.7,,,,3.17,12.3,64.08,0.84,,65.43,2.63,,0.12,0.04,38.67,1.09,83.64,40.88,8.72,3.26,,,0.24,2.07,9.94,8.24,21.04,10.14,8.39,1.77,1.82,10.06,,8.65,7.69,2.07,10.78,18.92,6.29,1.47,39.54,43.99,3.99,,,12.43,,17.28,,9.42,11.7,3.66,1.17,,,,,13.97,0.98,,1,,,10.38,10.08,1.25,1.24,,0.34,17.87,55.87,36.07,,,31.07,,12.47,11.33,,,9,8249375640.0,Apparel/Footwear Retail,Retail Trade
BBY,19.84,47.33,,5.7,,18.7,,,,,3.4,53.98,9.27,1.53,49.17,3.85,,0.06,0.16,87.48,1,69.66,64.9,7.63,1.58,1.32,,0.57,4.22,13.09,8.67,21.7,13.05,8.85,0.53,0.53,7.64,0.18,2.44,5.44,4.25,13.26,8.98,5.23,,75.45,22.42,34.21,,,3.01,,4.21,6.14,15.14,13.58,2.83,0.45,,0.59,1.14,,18.65,1.16,2.64,1.05,,,11.03,21.14,,0.99,11.81,0.22,8.01,33.88,24.21,41.95,,14.74,,5.86,13.78,,,10,15754825768.0,Electronics/Appliance Stores,Retail Trade
BC,,30.38,,4.3,16.4,17.4,18.3,20.2,,4.84,18.5,11.27,5.02,7.25,22.55,2.99,,0.24,0.11,71.42,1.97,136.86,43.67,36.33,3.48,1.34,,0.29,2.32,14.51,9.24,33.53,13.37,9.88,1.36,1.32,6.89,0.34,3.95,4.5,2.32,13.51,26.07,,,71.48,26.86,4.31,,,5.02,,9.63,2.35,18.01,12.55,0.4,0.9,,0.52,0.78,,23.02,1,8.65,0.77,,,12.1,38.03,0.5,0.89,136.62,0.74,4.37,20.59,10.63,13.31,,8.68,,3.16,17.36,,,9,5407256656.0,Auto Parts: OEM,Producer Manufacturing
